SNOMED_concept,mapped_from_concept_id,mapped_from_concept_name,mapped_from_concept_code,mapped_from_vocabulary_id,descendant_omop_concept_ids
"Dementia (52448006, OMOP concept_id: 4182210)",37402377,"Vascular dementia, mild, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",F01.A0,ICD10CM,"[37109056,762497]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402377,"Vascular dementia, mild, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",F01.A0,ICD10CM,[37109056]
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402378,"Vascular dementia, mild, with behavioral disturbance",F01.A1,ICD10CM,[37018688]
"Dementia (52448006, OMOP concept_id: 4182210)",37402378,"Vascular dementia, mild, with behavioral disturbance",F01.A1,ICD10CM,"[37018688,762497]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402379,"Vascular dementia, mild, with agitation",F01.A11,ICD10CM,[37018688]
"Dementia (52448006, OMOP concept_id: 4182210)",37402379,"Vascular dementia, mild, with agitation",F01.A11,ICD10CM,"[37018688,762497]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402380,"Vascular dementia, mild, with other behavioral disturbance",F01.A18,ICD10CM,[37018688]
"Dementia (52448006, OMOP concept_id: 4182210)",37402380,"Vascular dementia, mild, with other behavioral disturbance",F01.A18,ICD10CM,"[37018688,762497]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402381,"Vascular dementia, mild, with psychotic disturbance",F01.A2,ICD10CM,[37018688]
"Dementia (52448006, OMOP concept_id: 4182210)",37402381,"Vascular dementia, mild, with psychotic disturbance",F01.A2,ICD10CM,"[37018688,762497]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402382,"Vascular dementia, mild, with mood disturbance",F01.A3,ICD10CM,[37018688]
"Dementia (52448006, OMOP concept_id: 4182210)",37402382,"Vascular dementia, mild, with mood disturbance",F01.A3,ICD10CM,"[37018688,762497]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402383,"Vascular dementia, mild, with anxiety",F01.A4,ICD10CM,[37018688]
"Dementia (52448006, OMOP concept_id: 4182210)",37402383,"Vascular dementia, mild, with anxiety",F01.A4,ICD10CM,"[762497,37018688]"
"Dementia (52448006, OMOP concept_id: 4182210)",37402384,"Vascular dementia, moderate",F01.B,ICD10CM,"[443605,762704]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402384,"Vascular dementia, moderate",F01.B,ICD10CM,[443605]
"Dementia (52448006, OMOP concept_id: 4182210)",37402385,"Vascular dementia, moderate, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",F01.B0,ICD10CM,"[37109056,762704]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402385,"Vascular dementia, moderate, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",F01.B0,ICD10CM,[37109056]
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402386,"Vascular dementia, moderate, with behavioral disturbance",F01.B1,ICD10CM,[37018688]
"Dementia (52448006, OMOP concept_id: 4182210)",37402386,"Vascular dementia, moderate, with behavioral disturbance",F01.B1,ICD10CM,"[37018688,762704]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402387,"Vascular dementia, moderate, with agitation",F01.B11,ICD10CM,[37018688]
"Dementia (52448006, OMOP concept_id: 4182210)",37402387,"Vascular dementia, moderate, with agitation",F01.B11,ICD10CM,"[37018688,762704]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402388,"Vascular dementia, moderate, with other behavioral disturbance",F01.B18,ICD10CM,[37018688]
"Dementia (52448006, OMOP concept_id: 4182210)",37402388,"Vascular dementia, moderate, with other behavioral disturbance",F01.B18,ICD10CM,"[37018688,762704]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402389,"Vascular dementia, moderate, with psychotic disturbance",F01.B2,ICD10CM,[37018688]
"Dementia (52448006, OMOP concept_id: 4182210)",37402389,"Vascular dementia, moderate, with psychotic disturbance",F01.B2,ICD10CM,"[37018688,762704]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402390,"Vascular dementia, moderate, with mood disturbance",F01.B3,ICD10CM,[37018688]
"Dementia (52448006, OMOP concept_id: 4182210)",37402390,"Vascular dementia, moderate, with mood disturbance",F01.B3,ICD10CM,[37018688]
"Dementia (52448006, OMOP concept_id: 4182210)",37402392,"Vascular dementia, severe",F01.C,ICD10CM,[765653]
"Dementia (52448006, OMOP concept_id: 4182210)",37402393,"Vascular dementia, severe, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",F01.C0,ICD10CM,"[37109056,765653]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402393,"Vascular dementia, severe, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",F01.C0,ICD10CM,[37109056]
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402394,"Vascular dementia, severe, with behavioral disturbance",F01.C1,ICD10CM,[37018688]
"Dementia (52448006, OMOP concept_id: 4182210)",37402394,"Vascular dementia, severe, with behavioral disturbance",F01.C1,ICD10CM,"[765653,37018688]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402395,"Vascular dementia, severe, with agitation",F01.C11,ICD10CM,[37018688]
"Dementia (52448006, OMOP concept_id: 4182210)",37402395,"Vascular dementia, severe, with agitation",F01.C11,ICD10CM,"[765653,37018688]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402396,"Vascular dementia, severe, with other behavioral disturbance",F01.C18,ICD10CM,[37018688]
"Dementia (52448006, OMOP concept_id: 4182210)",37402396,"Vascular dementia, severe, with other behavioral disturbance",F01.C18,ICD10CM,"[765653,37018688]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402397,"Vascular dementia, severe, with psychotic disturbance",F01.C2,ICD10CM,[37018688]
"Dementia (52448006, OMOP concept_id: 4182210)",37402397,"Vascular dementia, severe, with psychotic disturbance",F01.C2,ICD10CM,"[765653,37018688]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402398,"Vascular dementia, severe, with mood disturbance",F01.C3,ICD10CM,[37018688]
"Dementia (52448006, OMOP concept_id: 4182210)",37402398,"Vascular dementia, severe, with mood disturbance",F01.C3,ICD10CM,"[765653,37018688]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402399,"Vascular dementia, severe, with anxiety",F01.C4,ICD10CM,[37018688]
"Dementia (52448006, OMOP concept_id: 4182210)",37402399,"Vascular dementia, severe, with anxiety",F01.C4,ICD10CM,"[765653,37018688]"
"Dementia (52448006, OMOP concept_id: 4182210)",1568088,Dementia in other diseases classified elsewhere,F02,ICD10CM,[374888]
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",1568088,Dementia in other diseases classified elsewhere,F02,ICD10CM,[374888]
"Dementia (52448006, OMOP concept_id: 4182210)",1568089,"Dementia in other diseases classified elsewhere, unspecified severity",F02.8,ICD10CM,[374888]
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",1568089,"Dementia in other diseases classified elsewhere, unspecified severity",F02.8,ICD10CM,[374888]
"Dementia (52448006, OMOP concept_id: 4182210)",45591076,"Dementia in other diseases classified elsewhere, unspecified severity, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",F02.80,ICD10CM,[374888]
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",45591076,"Dementia in other diseases classified elsewhere, unspecified severity, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",F02.80,ICD10CM,[374888]
"Dementia (52448006, OMOP concept_id: 4182210)",45595842,"Dementia in other diseases classified elsewhere, unspecified severity, with behavioral disturbance",F02.81,ICD10CM,[43530666]
"Dementia (52448006, OMOP concept_id: 4182210)",37402400,"Dementia in other diseases classified elsewhere, unspecified severity, with agitation",F02.811,ICD10CM,[374888]
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402400,"Dementia in other diseases classified elsewhere, unspecified severity, with agitation",F02.811,ICD10CM,[374888]
"Dementia (52448006, OMOP concept_id: 4182210)",37402401,"Dementia in other diseases classified elsewhere, unspecified severity, with other behavioral disturbance",F02.818,ICD10CM,"[374888,43530666]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402401,"Dementia in other diseases classified elsewhere, unspecified severity, with other behavioral disturbance",F02.818,ICD10CM,[374888]
"Dementia (52448006, OMOP concept_id: 4182210)",37402402,"Dementia in other diseases classified elsewhere, unspecified severity, with psychotic disturbance",F02.82,ICD10CM,[374888]
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402402,"Dementia in other diseases classified elsewhere, unspecified severity, with psychotic disturbance",F02.82,ICD10CM,[374888]
"Dementia (52448006, OMOP concept_id: 4182210)",37402403,"Dementia in other diseases classified elsewhere, unspecified severity, with mood disturbance",F02.83,ICD10CM,[374888]
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402403,"Dementia in other diseases classified elsewhere, unspecified severity, with mood disturbance",F02.83,ICD10CM,[374888]
"Dementia (52448006, OMOP concept_id: 4182210)",37402404,"Dementia in other diseases classified elsewhere, unspecified severity, with anxiety",F02.84,ICD10CM,[374888]
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402404,"Dementia in other diseases classified elsewhere, unspecified severity, with anxiety",F02.84,ICD10CM,[374888]
"Dementia (52448006, OMOP concept_id: 4182210)",37402405,"Dementia in other diseases classified elsewhere, mild",F02.A,ICD10CM,"[374888,762497]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402405,"Dementia in other diseases classified elsewhere, mild",F02.A,ICD10CM,[374888]
"Dementia (52448006, OMOP concept_id: 4182210)",37402406,"Dementia in other diseases classified elsewhere, mild, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",F02.A0,ICD10CM,"[374888,762497]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402406,"Dementia in other diseases classified elsewhere, mild, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",F02.A0,ICD10CM,[374888]
"Dementia (52448006, OMOP concept_id: 4182210)",37402407,"Dementia in other diseases classified elsewhere, mild, with behavioral disturbance",F02.A1,ICD10CM,"[374888,43530666,762497]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402407,"Dementia in other diseases classified elsewhere, mild, with behavioral disturbance",F02.A1,ICD10CM,[374888]
"Dementia (52448006, OMOP concept_id: 4182210)",37402408,"Dementia in other diseases classified elsewhere, mild, with agitation",F02.A11,ICD10CM,"[374888,762497]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402408,"Dementia in other diseases classified elsewhere, mild, with agitation",F02.A11,ICD10CM,[374888]
"Dementia (52448006, OMOP concept_id: 4182210)",37402409,"Dementia in other diseases classified elsewhere, mild, with other behavioral disturbance",F02.A18,ICD10CM,"[374888,762497]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402409,"Dementia in other diseases classified elsewhere, mild, with other behavioral disturbance",F02.A18,ICD10CM,[374888]
"Dementia (52448006, OMOP concept_id: 4182210)",37402410,"Dementia in other diseases classified elsewhere, mild, with psychotic disturbance",F02.A2,ICD10CM,"[374888,762497]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402410,"Dementia in other diseases classified elsewhere, mild, with psychotic disturbance",F02.A2,ICD10CM,[374888]
"Dementia (52448006, OMOP concept_id: 4182210)",37402411,"Dementia in other diseases classified elsewhere, mild, with mood disturbance",F02.A3,ICD10CM,"[374888,762497]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402411,"Dementia in other diseases classified elsewhere, mild, with mood disturbance",F02.A3,ICD10CM,[374888]
"Dementia (52448006, OMOP concept_id: 4182210)",37402412,"Dementia in other diseases classified elsewhere, mild, with anxiety",F02.A4,ICD10CM,"[374888,762497]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402412,"Dementia in other diseases classified elsewhere, mild, with anxiety",F02.A4,ICD10CM,[374888]
"Dementia (52448006, OMOP concept_id: 4182210)",37402413,"Dementia in other diseases classified elsewhere, moderate",F02.B,ICD10CM,"[374888,762704]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402413,"Dementia in other diseases classified elsewhere, moderate",F02.B,ICD10CM,[374888]
"Dementia (52448006, OMOP concept_id: 4182210)",37402414,"Dementia in other diseases classified elsewhere, moderate, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",F02.B0,ICD10CM,"[374888,762704]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402414,"Dementia in other diseases classified elsewhere, moderate, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",F02.B0,ICD10CM,[374888]
"Dementia (52448006, OMOP concept_id: 4182210)",37402415,"Dementia in other diseases classified elsewhere, moderate, with behavioral disturbance",F02.B1,ICD10CM,"[374888,43530666,762704]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402415,"Dementia in other diseases classified elsewhere, moderate, with behavioral disturbance",F02.B1,ICD10CM,[374888]
"Dementia (52448006, OMOP concept_id: 4182210)",37402416,"Dementia in other diseases classified elsewhere, moderate, with agitation",F02.B11,ICD10CM,"[374888,762704]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402416,"Dementia in other diseases classified elsewhere, moderate, with agitation",F02.B11,ICD10CM,[374888]
"Dementia (52448006, OMOP concept_id: 4182210)",37402417,"Dementia in other diseases classified elsewhere, moderate, with other behavioral disturbance",F02.B18,ICD10CM,"[374888,43530666,762704]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402417,"Dementia in other diseases classified elsewhere, moderate, with other behavioral disturbance",F02.B18,ICD10CM,[374888]
"Dementia (52448006, OMOP concept_id: 4182210)",37402418,"Dementia in other diseases classified elsewhere, moderate, with psychotic disturbance",F02.B2,ICD10CM,"[374888,762704]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402418,"Dementia in other diseases classified elsewhere, moderate, with psychotic disturbance",F02.B2,ICD10CM,[374888]
"Dementia (52448006, OMOP concept_id: 4182210)",37402419,"Dementia in other diseases classified elsewhere, moderate, with mood disturbance",F02.B3,ICD10CM,"[374888,762704]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402419,"Dementia in other diseases classified elsewhere, moderate, with mood disturbance",F02.B3,ICD10CM,[374888]
"Dementia (52448006, OMOP concept_id: 4182210)",37402420,"Dementia in other diseases classified elsewhere, moderate, with anxiety",F02.B4,ICD10CM,"[374888,762704]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402420,"Dementia in other diseases classified elsewhere, moderate, with anxiety",F02.B4,ICD10CM,[374888]
"Dementia (52448006, OMOP concept_id: 4182210)",37402421,"Dementia in other diseases classified elsewhere, severe",F02.C,ICD10CM,"[374888,765653]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402421,"Dementia in other diseases classified elsewhere, severe",F02.C,ICD10CM,[374888]
"Dementia (52448006, OMOP concept_id: 4182210)",37402422,"Dementia in other diseases classified elsewhere, severe, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",F02.C0,ICD10CM,"[374888,765653]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402422,"Dementia in other diseases classified elsewhere, severe, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",F02.C0,ICD10CM,[374888]
"Dementia (52448006, OMOP concept_id: 4182210)",37402423,"Dementia in other diseases classified elsewhere, severe, with behavioral disturbance",F02.C1,ICD10CM,"[374888,765653,43530666]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402423,"Dementia in other diseases classified elsewhere, severe, with behavioral disturbance",F02.C1,ICD10CM,[374888]
"Dementia (52448006, OMOP concept_id: 4182210)",37402424,"Dementia in other diseases classified elsewhere, severe, with agitation",F02.C11,ICD10CM,"[374888,765653]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402424,"Dementia in other diseases classified elsewhere, severe, with agitation",F02.C11,ICD10CM,[374888]
"Dementia (52448006, OMOP concept_id: 4182210)",37402425,"Dementia in other diseases classified elsewhere, severe, with other behavioral disturbance",F02.C18,ICD10CM,"[374888,765653]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402425,"Dementia in other diseases classified elsewhere, severe, with other behavioral disturbance",F02.C18,ICD10CM,[374888]
"Dementia (52448006, OMOP concept_id: 4182210)",37402426,"Dementia in other diseases classified elsewhere, severe, with psychotic disturbance",F02.C2,ICD10CM,"[374888,765653]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402426,"Dementia in other diseases classified elsewhere, severe, with psychotic disturbance",F02.C2,ICD10CM,[374888]
"Dementia (52448006, OMOP concept_id: 4182210)",37402427,"Dementia in other diseases classified elsewhere, severe, with mood disturbance",F02.C3,ICD10CM,"[374888,765653]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402427,"Dementia in other diseases classified elsewhere, severe, with mood disturbance",F02.C3,ICD10CM,[374888]
"Dementia (52448006, OMOP concept_id: 4182210)",37402428,"Dementia in other diseases classified elsewhere, severe, with anxiety",F02.C4,ICD10CM,"[374888,765653]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402428,"Dementia in other diseases classified elsewhere, severe, with anxiety",F02.C4,ICD10CM,[374888]
"Dementia (52448006, OMOP concept_id: 4182210)",35207114,Unspecified dementia,F03,ICD10CM,[4182210]
"Dementia (52448006, OMOP concept_id: 4182210)",1568090,"Unspecified dementia, unspecified severity",F03.9,ICD10CM,[4182210]
"Dementia (52448006, OMOP concept_id: 4182210)",45538000,"Unspecified dementia, unspecified severity, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",F03.90,ICD10CM,[4182210]
"Dementia (52448006, OMOP concept_id: 4182210)",45595843,"Unspecified dementia, unspecified severity, with behavioral disturbance",F03.91,ICD10CM,[43530666]
"Dementia (52448006, OMOP concept_id: 4182210)",37402429,"Unspecified dementia, unspecified severity, with agitation",F03.911,ICD10CM,[43530666]
"Dementia (52448006, OMOP concept_id: 4182210)",37402430,"Unspecified dementia, unspecified severity, with other behavioral disturbance",F03.918,ICD10CM,[43530666]
"Dementia (52448006, OMOP concept_id: 4182210)",37402431,"Unspecified dementia, unspecified severity, with psychotic disturbance",F03.92,ICD10CM,[43530666]
"Dementia (52448006, OMOP concept_id: 4182210)",37402432,"Unspecified dementia, unspecified severity, with mood disturbance",F03.93,ICD10CM,[43530666]
"Dementia (52448006, OMOP concept_id: 4182210)",37402434,"Unspecified dementia, mild",F03.A,ICD10CM,[762497]
"Dementia (52448006, OMOP concept_id: 4182210)",37402435,"Unspecified dementia, mild, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",F03.A0,ICD10CM,[762497]
"Dementia (52448006, OMOP concept_id: 4182210)",37402436,"Unspecified dementia, mild, with behavioral disturbance",F03.A1,ICD10CM,"[43530666,762497]"
"Dementia (52448006, OMOP concept_id: 4182210)",37402437,"Unspecified dementia, mild, with agitation",F03.A11,ICD10CM,"[43530666,762497]"
"Dementia (52448006, OMOP concept_id: 4182210)",37402438,"Unspecified dementia, mild, with other behavioral disturbance",F03.A18,ICD10CM,"[43530666,762497]"
"Dementia (52448006, OMOP concept_id: 4182210)",37402439,"Unspecified dementia, mild, with psychotic disturbance",F03.A2,ICD10CM,"[43530666,762497]"
"Dementia (52448006, OMOP concept_id: 4182210)",37402440,"Unspecified dementia, mild, with mood disturbance",F03.A3,ICD10CM,"[43530666,762497]"
"Dementia (52448006, OMOP concept_id: 4182210)",37402441,"Unspecified dementia, mild, with anxiety",F03.A4,ICD10CM,"[43530666,762497]"
"Dementia (52448006, OMOP concept_id: 4182210)",37402442,"Unspecified dementia, moderate",F03.B,ICD10CM,"[43530666,762704]"
"Dementia (52448006, OMOP concept_id: 4182210)",37402443,"Unspecified dementia, moderate, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",F03.B0,ICD10CM,"[43530666,762704]"
"Dementia (52448006, OMOP concept_id: 4182210)",37402444,"Unspecified dementia, moderate, with behavioral disturbance",F03.B1,ICD10CM,"[43530666,762704]"
"Dementia (52448006, OMOP concept_id: 4182210)",37402445,"Unspecified dementia, moderate, with agitation",F03.B11,ICD10CM,"[43530666,762704]"
"Dementia (52448006, OMOP concept_id: 4182210)",37402446,"Unspecified dementia, moderate, with other behavioral disturbance",F03.B18,ICD10CM,"[43530666,762704]"
"Dementia (52448006, OMOP concept_id: 4182210)",37402447,"Unspecified dementia, moderate, with psychotic disturbance",F03.B2,ICD10CM,"[43530666,762704]"
"Dementia (52448006, OMOP concept_id: 4182210)",37402448,"Unspecified dementia, moderate, with mood disturbance",F03.B3,ICD10CM,"[43530666,762704]"
"Dementia (52448006, OMOP concept_id: 4182210)",37402449,"Unspecified dementia, moderate, with anxiety",F03.B4,ICD10CM,"[43530666,762704]"
"Dementia (52448006, OMOP concept_id: 4182210)",37402450,"Unspecified dementia, severe",F03.C,ICD10CM,[765653]
"Dementia (52448006, OMOP concept_id: 4182210)",37402451,"Unspecified dementia, severe, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",F03.C0,ICD10CM,[765653]
"Dementia (52448006, OMOP concept_id: 4182210)",37402452,"Unspecified dementia, severe, with behavioral disturbance",F03.C1,ICD10CM,"[765653,43530666]"
"Dementia (52448006, OMOP concept_id: 4182210)",37402453,"Unspecified dementia, severe, with agitation",F03.C11,ICD10CM,"[765653,43530666]"
"Dementia (52448006, OMOP concept_id: 4182210)",37402454,"Unspecified dementia, severe, with other behavioral disturbance",F03.C18,ICD10CM,"[765653,43530666]"
"Dementia (52448006, OMOP concept_id: 4182210)",37402455,"Unspecified dementia, severe, with psychotic disturbance",F03.C2,ICD10CM,"[765653,43530666]"
"Dementia (52448006, OMOP concept_id: 4182210)",37402456,"Unspecified dementia, severe, with mood disturbance",F03.C3,ICD10CM,"[765653,43530666]"
